Genetic_Condition,Chromosome_Involved,Description,Genetic_mutation,Treatment_Plan
Hemophilia,X,"Description: Hemophilia is a genetic disorder that affects the body's ability to control blood clotting, leading to prolonged bleeding episodes and difficulty forming blood clots. It is caused by mutations in genes that encode clotting factors, such as factor VIII for hemophilia A and factor IX for hemophilia B. Hemophilia is characterized by spontaneous or excessive bleeding into joints, muscles, or internal organs, often resulting in pain, swelling, and mobility issues.",P,"Replacement therapy with clotting factor concentrates (e.g., factor VIII for hemophilia A, factor IX for hemophilia B) to prevent or control bleeding episodes
Desmopressin (DDAVP) for mild hemophilia A
Antifibrinolytic medications such as tranexamic acid to help stabilize blood clots
Prophylactic treatment to prevent joint damage and other complications
Genetic counseling for families"
Klinefelter syndrome,X,"Description: Klinefelter syndrome is a chromosomal disorder characterized by the presence of an extra X chromosome in males (XXY). It is associated with hypogonadism, infertility, and developmental and cognitive differences. Symptoms may include small testes, reduced fertility, gynecomastia (enlarged breasts), and tall stature. Klinefelter syndrome varies in severity and can affect physical, cognitive, and social development.",C,"Hormone replacement therapy with testosterone to address hypogonadism and improve secondary sexual characteristics
Fertility treatments such as assisted reproductive techniques (e.g., in vitro fertilization, intracytoplasmic sperm injection)
Psychological counseling and support to address any emotional or social issues
Regular monitoring for associated health conditions (e.g., osteoporosis, metabolic syndrome)"
Neurofibromatosis,17q or 22q,"Description: Neurofibromatosis is a genetic disorder that causes tumors to form on nerve tissue. It is caused by mutations in genes that regulate cell growth and division, such as the NF1 and NF2 genes. Neurofibromatosis can affect multiple organ systems, including the skin, nervous system, and bones. Symptoms may vary widely and can include café-au-lait spots (pigmented skin lesions), neurofibromas (benign tumors), skeletal abnormalities, and neurological problems.",None,"Symptomatic management of tumors, pain, and other complications
Surgical removal of tumors if necessary
Genetic counseling and prenatal testing for families
Monitoring for complications such as high blood pressure, scoliosis, and vision problems"
Phenylketonuria,12q,"Description: Phenylketonuria (PKU) is a genetic disorder caused by a deficiency of the enzyme phenylalanine hydroxylase, which is needed to break down the amino acid phenylalanine. Without this enzyme, phenylalanine builds up in the body and can cause intellectual disability and other neurological problems. PKU is typically detected through newborn screening and managed with a strict low-phenylalanine diet and medical foods.",P,"Dietary restriction of phenylalanine (Phe) to prevent buildup of toxic levels in the blood
Consumption of medical foods that are low in Phe and supplemented with essential nutrients (e.g., Phenyl-Free)
Monitoring of blood Phe levels and adjustment of dietary Phe intake as needed
Supplementation with tetrahydrobiopterin (BH4) for certain forms of phenylketonuria (e.g., BH4-responsive PKU)"
Polycystic kidney disease,16 (PKD1) or 4 (PKD2),"Description: Polycystic kidney disease (PKD) is a genetic disorder characterized by the growth of fluid-filled cysts in the kidneys. It is caused by mutations in genes that regulate kidney cell growth and proliferation, such as the PKD1 and PKD2 genes. PKD can lead to kidney enlargement, kidney failure, and other complications such as high blood pressure and urinary tract infections.",P,"Management of blood pressure with medications such as ACE inhibitors or ARBs to slow the progression of kidney disease
Dietary modifications to maintain a healthy weight and reduce the risk of complications
Symptomatic treatment for pain, urinary tract infections, and other complications
Regular monitoring of kidney function and screening for associated conditions (e.g., hypertension, kidney stones)
Genetic counseling and screening for family members"
Prader Willi syndrome,15q,"Description: Prader–Willi syndrome is a genetic disorder characterized by intellectual disability, hyperphagia (excessive eating), obesity, and behavioral problems. It is caused by the loss of genetic material from the paternal chromosome 15, typically due to a deletion in the region known as 15q11-q13. Individuals with Prader–Willi syndrome may also have low muscle tone, short stature, and developmental delays.",DCP,"Growth hormone therapy to improve growth and development
Nutritional management and supervision to prevent obesity and related complications
Behavioral interventions to address hyperphagia and food-seeking behaviors
Monitoring and treatment of associated health conditions (e.g., sleep apnea, scoliosis)
Supportive care and social services to address developmental and behavioral challenges"
Scheuermann's disease,1q21-q22 or 7q22,"Description: Scheuermann's disease, also known as juvenile kyphosis, is a condition that causes abnormal growth of the vertebral bones in the spine. It typically affects adolescents during periods of rapid growth and is characterized by wedging of the vertebrae, leading to an exaggerated forward curvature of the upper back (kyphosis). Symptoms may include back pain, stiffness, and postural changes.",None,"Physical therapy and exercise to improve posture and strengthen back muscles
Pain management medications such as NSAIDs or muscle relaxants
Bracing to support the spine and reduce pain
Surgical intervention in severe cases with significant curvature or neurological symptoms
Regular monitoring of spinal health and function"
Sickle cell disease,11p,"Description: Sickle cell disease is a genetic disorder that affects the red blood cells, causing them to become rigid and crescent-shaped (sickle-shaped) instead of flexible and round. It is caused by mutations in the HBB gene, which encodes the beta-globin subunit of hemoglobin. Sickle cell disease can lead to episodes of severe pain (sickle cell crises), anemia, organ damage, and increased risk of infections and stroke.",P,"Hydroxyurea therapy to reduce the frequency of painful crises and complications
Pain management medications such as opioids or NSAIDs to manage acute pain episodes
Blood transfusions to treat severe anemia or prevent complications such as stroke
Antibiotics to prevent infections and manage complications such as acute chest syndrome
Supportive care and management of associated conditions (e.g., iron overload, pulmonary hypertension)"
Spinal muscular atrophy,5q,"Description: Spinal muscular atrophy (SMA) is a genetic disorder characterized by progressive muscle weakness and atrophy due to loss of motor neurons in the spinal cord and brainstem. It is caused by mutations in genes that are essential for motor neuron function, such as the SMN1 gene. SMA can vary widely in severity, with some individuals experiencing mild muscle weakness and others having profound weakness and respiratory insufficiency.",DP,"Disease-modifying therapies such as nusinersen (Spinraza) or onasemnogene abeparvovec (Zolgensma) to increase survival motor neuron (SMN) protein levels
Physical therapy and occupational therapy to maintain mobility and function
Respiratory support such as cough assistance devices or non-invasive ventilation
Nutritional support and feeding assistance as needed
Supportive care and management of associated complications (e.g., scoliosis, respiratory infections)"
Tay Sachs disease,15q,"Description: Tay–Sachs disease is a rare genetic disorder characterized by the progressive destruction of nerve cells in the brain and spinal cord. It is caused by mutations in the HEXA gene, which encodes an enzyme needed to break down certain fatty substances in the brain. Tay–Sachs disease typically manifests in infancy and leads to developmental regression, loss of motor skills, seizures, and eventual death.",P,"vSymptomatic management to address seizures, muscle stiffness, and other complications
Supportive care to maintain comfort and quality of life
Palliative care for end-of-life support
Genetic counseling and family support"
Turner syndrome,X,"Description: Turner syndrome is a chromosomal disorder characterized by the partial or complete absence of one of the X chromosomes in females. It is associated with short stature, ovarian insufficiency, and developmental and cognitive differences. Symptoms may include short stature, delayed puberty, infertility, and heart defects. Turner syndrome varies in severity and can affect physical, cognitive, and social development.",C,"Growth hormone therapy to improve growth and development
Estrogen replacement therapy to induce puberty and maintain bone health
Fertility treatments such as egg donation or assisted reproductive techniques
Monitoring and management of associated health conditions (e.g., heart defects, thyroid disorders)
Psychological support and counseling to address emotional and social challenges"
Angelman Syndrome,15q,"Description: Angelman syndrome is a genetic disorder characterized by developmental delays, intellectual disability, speech impairments, and a happy, excitable demeanor. It is caused by abnormalities in the UBE3A gene, which is located on chromosome 15. Angelman syndrome typically becomes apparent in early childhood and is associated with distinctive facial features, such as a wide mouth and protruding tongue. Individuals with Angelman syndrome may also experience seizures, sleep disturbances, and motor impairments.",DCP,"Symptomatic management of seizures with antiepileptic medications
Physical therapy, occupational therapy, and speech therapy to address developmental delays and improve communication skills
Behavioral interventions to manage hyperactivity, anxiety, and sleep disturbances
Assistive devices and adaptive technologies to support independence and mobility
Genetic counseling and family support"
